,City,Latitude,Longitude,Temperature,Humidity (%),Cloudiness (%),Wind Speed (mph)
480,Kaeo,-35.1,173.78,42.91,79,0,4.41
481,Ossora,59.24,163.07,36.7,100,20,3.06
482,Korhogo,9.46,-5.63,82.15,100,36,4.18
483,Taguisa,6.7,124.04,73.87,81,24,1.95
484,Polson,47.69,-114.16,36.43,84,92,2.06
485,Saint-Gedeon,48.5,-71.77,39.34,93,75,6.93
486,Cockburn Town,21.46,-71.14,84.22,95,44,13.02
487,Ibra,22.69,58.55,87.55,39,36,2.39
488,Rodrigues Alves,-7.74,-72.65,77.0,88,40,3.36
489,Kaohsiung,22.62,120.31,78.49,58,40,8.05
490,Viru,57.74,26.74,50.0,53,12,12.75
491,Saravan,39.72,45.65,87.8,20,0,2.24
492,San Marcos,14.97,-91.79,72.61,100,40,1.83
493,Aksarayskiy,46.79,48.01,69.8,43,0,8.95
494,Mitchell,43.71,-98.03,42.08,82,90,12.75
495,Lardos,36.09,28.02,80.6,51,40,8.05
496,Avera,33.19,-82.53,75.29,94,40,2.73
497,Tanete,-3.94,119.78,80.17,75,0,9.66
498,Maraa,-1.83,-65.37,79.99,86,56,3.18
499,Durango,37.28,-107.88,41.31,21,1,3.36
500,Asmar,35.03,71.36,72.97,53,64,2.39
501,Verkhoyansk,67.55,133.39,21.67,84,12,4.85
502,Vrangel,42.73,133.08,62.26,100,0,9.44
503,Port Hedland,-20.31,118.58,75.2,73,40,16.11
504,Dalian,19.86,110.11,78.8,74,75,6.71
505,Marawi,8.0,124.29,70.63,94,12,2.39
506,Barabash,43.19,131.5,57.2,93,48,4.47
507,Pozo Colorado,-23.49,-58.8,82.15,73,0,15.82
508,La Fria,8.22,-72.25,75.2,94,75,2.24
509,Atessa,42.07,14.45,75.2,47,0,11.41
510,Sayyan,15.17,44.32,79.99,14,0,7.43
511,Homer,59.64,-151.54,51.08,92,90,6.93
512,Port Antonio,18.18,-76.45,80.6,78,20,12.75
513,Brownsville,25.91,-97.49,76.69,94,75,7.76
514,Esso,55.93,158.7,31.39,89,48,2.62
515,Denpasar,-8.65,115.22,78.8,88,20,8.05
516,Srikakulam,18.29,83.89,86.29,99,0,8.32
517,Faya,18.39,42.45,81.52,15,40,11.41
518,Dinard,48.63,-2.06,63.07,45,0,12.75
519,Tocopilla,-22.09,-70.2,56.14,100,36,2.73
520,Hanzhong,33.08,107.03,63.61,67,88,1.95
521,Magalia,39.81,-121.58,57.72,71,1,13.87
522,Sechura,-5.56,-80.82,64.78,93,36,6.64
523,Weligama,5.97,80.42,80.8,92,88,12.12
524,Biskamzha,53.45,89.53,52.45,62,56,6.2
525,Vila do Maio,15.13,-23.22,84.2,58,75,12.75
526,Vardo,39.62,-77.74,57.76,100,5,2.95
527,Santa Isabel do Rio Negro,-0.41,-65.02,79.72,87,56,3.4
528,Paramonga,-10.68,-77.82,59.38,100,68,5.75
529,Ayan,40.67,33.6,73.51,38,12,4.52
530,Maiduguri,11.84,13.15,97.45,56,0,4.63
531,Sendafa,9.16,39.02,74.59,29,12,10.67
532,Olinda,-2.03,-79.75,71.6,78,75,10.29
533,Kalmunai,7.42,81.82,76.57,100,100,2.95
534,Ilovlya,49.31,43.98,68.0,42,0,11.18
535,Vestmannaeyjar,63.44,-20.27,44.6,87,75,19.46
536,Kargasok,59.06,80.87,51.64,57,56,8.55
537,Charlestown,41.38,-71.64,56.55,90,75,8.05
538,Volzhskiy,48.78,44.78,68.0,42,0,11.18
539,Hovd,63.83,10.7,47.34,75,75,3.36
540,Port Macquarie,-31.43,152.91,60.8,59,90,6.93
541,Sarandi,-27.94,-52.92,71.62,86,0,15.03
542,Marsh Harbour,26.54,-77.06,83.41,100,44,16.04
543,Deputatskiy,69.3,139.9,26.08,90,80,2.95
544,Beloha,-25.17,45.06,91.42,33,0,10.45
545,Ratnagiri,16.98,73.3,76.93,100,92,3.62
546,Ayia Marina,37.75,23.53,67.08,82,90,11.41
547,Port Moresby,-9.47,147.16,77.74,93,0,22.41
548,Balao,-2.91,-79.82,68.47,100,68,2.73
549,Malindi,-3.22,40.12,82.4,65,75,17.22
550,Gazanjyk,39.24,55.52,84.85,26,0,11.23
551,Sapernoye,60.72,29.95,45.61,71,8,7.2
552,Mutis,6.23,-77.4,72.79,100,92,6.42
553,Kouroussa,10.65,-9.88,82.24,89,32,8.77
554,Half Moon Bay,37.46,-122.43,58.89,87,90,4.7
555,Manglaur,29.79,77.88,80.62,82,0,5.53
556,Taltal,-25.41,-70.49,52.09,92,0,1.95
557,Mao,19.55,-71.08,76.12,94,40,7.76
558,Conde,-11.81,-37.61,83.68,70,0,7.65
559,Andros Town,24.73,-77.79,78.8,88,75,5.82
560,Tokoroa,-38.22,175.87,34.99,81,0,2.62
